time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2023/03/01/16:57:56.690572,25,1677550519,716699253,imu_link,0,0,35.8815734,127.1742445,84.47500000000001,"(0.394384, 0.0, 0.0, 0.0, 0.394384, 0.0, 0.0, 0.0, 0.8968090000000001)",2
2023/03/01/16:57:57.694685,26,1677550520,713594787,imu_link,0,0,35.8817476,127.1741539,83.875,"(0.413449, 0.0, 0.0, 0.0, 0.413449, 0.0, 0.0, 0.0, 0.992016)",2
2023/03/01/16:57:58.873032,27,1677550521,712369761,imu_link,0,0,35.881921,127.1740488,83.26,"(0.43956900000000004, 0.0, 0.0, 0.0, 0.43956900000000004, 0.0, 0.0, 0.0, 1.0878489999999998)",2
2023/03/01/16:57:59.729879,28,1677550522,713725839,imu_link,0,0,35.882096,127.17393209999999,82.66,"(0.4610410000000001, 0.0, 0.0, 0.0, 0.4610410000000001, 0.0, 0.0, 0.0, 1.1728889999999998)",2
2023/03/01/16:57:59.901851,29,1677550522,966977830,imu_link,0,0,35.8821405,127.1739018,82.514,"(0.4637610000000001, 0.0, 0.0, 0.0, 0.4637610000000001, 0.0, 0.0, 0.0, 1.1881000000000002)",2
2023/03/01/16:58:00.596825,30,1677550523,465968979,imu_link,0,0,35.8822299,127.17384039999999,82.20400000000001,"(0.4664890000000001, 0.0, 0.0, 0.0, 0.4664890000000001, 0.0, 0.0, 0.0, 1.1968360000000002)",2
2023/03/01/16:58:00.773454,31,1677550523,717489089,imu_link,0,0,35.882274699999996,127.1738091,82.02,"(0.4664890000000001, 0.0, 0.0, 0.0, 0.4664890000000001, 0.0, 0.0, 0.0, 1.203409)",2
2023/03/01/16:58:00.894251,32,1677550523,967670620,imu_link,0,0,35.8823195,127.17377719999999,81.75,"(0.4651240000000001, 0.0, 0.0, 0.0, 0.4651240000000001, 0.0, 0.0, 0.0, 1.207801)",2
2023/03/01/16:58:01.488420,33,1677550524,467504051,imu_link,0,0,35.882410199999995,127.17371279999999,81.388,"(0.4651240000000001, 0.0, 0.0, 0.0, 0.4651240000000001, 0.0, 0.0, 0.0, 1.2100000000000002)",2
2023/03/01/16:58:01.694472,34,1677550524,716215795,imu_link,0,0,35.882456,127.17368019999999,81.182,"(0.4637610000000001, 0.0, 0.0, 0.0, 0.4637610000000001, 0.0, 0.0, 0.0, 1.2122009999999999)",2
2023/03/01/16:58:02.605549,35,1677550525,471402438,imu_link,0,0,35.8825952,127.1735817,80.574,"(0.4610410000000001, 0.0, 0.0, 0.0, 0.4610410000000001, 0.0, 0.0, 0.0, 1.2012160000000003)",2
2023/03/01/16:58:02.693327,36,1677550525,719430527,imu_link,0,0,35.8826418,127.1735485,80.473,"(0.45968400000000004, 0.0, 0.0, 0.0, 0.45968400000000004, 0.0, 0.0, 0.0, 1.1946489999999998)",2
2023/03/01/16:58:03.613139,37,1677550526,471726615,imu_link,0,0,35.8827834,127.17344759999999,79.904,"(0.45697600000000005, 0.0, 0.0, 0.0, 0.45697600000000005, 0.0, 0.0, 0.0, 1.1924640000000002)",2
2023/03/01/16:58:03.840021,38,1677550526,721557399,imu_link,0,0,35.8828311,127.17341379999999,79.733,"(0.45562500000000006, 0.0, 0.0, 0.0, 0.45562500000000006, 0.0, 0.0, 0.0, 1.1946489999999998)",2
2023/03/01/16:58:04.290868,39,1677550527,221217185,imu_link,0,0,35.8829273,127.17334559999999,79.316,"(0.4529290000000001, 0.0, 0.0, 0.0, 0.4529290000000001, 0.0, 0.0, 0.0, 1.2056040000000001)",2
2023/03/01/16:58:04.584605,40,1677550527,472060714,imu_link,0,0,35.8829759,127.1733113,79.10000000000001,"(0.4529290000000001, 0.0, 0.0, 0.0, 0.4529290000000001, 0.0, 0.0, 0.0, 1.2100000000000002)",2
2023/03/01/16:58:04.687191,41,1677550527,721741121,imu_link,0,0,35.8830244,127.17327669999999,78.916,"(0.4529290000000001, 0.0, 0.0, 0.0, 0.4529290000000001, 0.0, 0.0, 0.0, 1.2122009999999999)",2
2023/03/01/16:58:05.846305,42,1677550528,721607418,imu_link,0,0,35.8832211,127.1731367,78.13,"(0.4624000000000001, 0.0, 0.0, 0.0, 0.4624000000000001, 0.0, 0.0, 0.0, 1.2499240000000003)",2
2023/03/01/16:58:06.698335,43,1677550529,716762432,imu_link,0,0,35.883420699999995,127.17299349999999,77.322,"(0.46922500000000006, 0.0, 0.0, 0.0, 0.46922500000000006, 0.0, 0.0, 0.0, 1.2859560000000003)",2
2023/03/01/16:58:07.307862,44,1677550530,221150912,imu_link,0,0,35.8835215,127.17292169999999,76.81,"(0.47059600000000007, 0.0, 0.0, 0.0, 0.47059600000000007, 0.0, 0.0, 0.0, 1.2769000000000004)",2
2023/03/01/16:58:07.491742,45,1677550530,472110931,imu_link,0,0,35.883572,127.1728859,76.539,"(0.47059600000000007, 0.0, 0.0, 0.0, 0.47059600000000007, 0.0, 0.0, 0.0, 1.274641)",2
2023/03/01/16:58:07.708357,46,1677550530,721545542,imu_link,0,0,35.8836227,127.17285,76.279,"(0.4719690000000001, 0.0, 0.0, 0.0, 0.4719690000000001, 0.0, 0.0, 0.0, 1.2769000000000004)",2
2023/03/01/16:58:08.687494,47,1677550531,721647539,imu_link,0,0,35.8838241,127.172704,75.535,"(0.4914010000000001, 0.0, 0.0, 0.0, 0.4914010000000001, 0.0, 0.0, 0.0, 1.311025)",2
2023/03/01/16:58:09.490593,48,1677550532,459470591,imu_link,0,0,35.883970999999995,127.172592,75.051,"(0.6068410000000001, 0.0, 0.0, 0.0, 0.6068410000000001, 0.0, 0.0, 0.0, 1.4616810000000002)",2
2023/03/01/16:58:09.783059,49,1677550532,713962437,imu_link,0,0,35.884020899999996,127.17255549999999,74.825,"(0.719104, 0.0, 0.0, 0.0, 0.719104, 0.0, 0.0, 0.0, 1.5376)",2
2023/03/01/16:58:10.001582,50,1677550532,962138820,imu_link,0,0,35.88407,127.1725196,74.641,"(0.8686240000000001, 0.0, 0.0, 0.0, 0.8686240000000001, 0.0, 0.0, 0.0, 1.623076)",2
2023/03/01/16:58:11.511515,51,1677550534,467261432,imu_link,0,0,35.8843521,127.17228,73.61,"(1.077444, 0.0, 0.0, 0.0, 1.077444, 0.0, 0.0, 0.0, 2.163841)",2
2023/03/01/16:58:11.690565,52,1677550534,718974112,imu_link,0,0,35.884397,127.1722372,73.304,"(1.073296, 0.0, 0.0, 0.0, 1.073296, 0.0, 0.0, 0.0, 2.1815290000000003)",2
2023/03/01/16:58:11.899403,53,1677550534,966093248,imu_link,0,0,35.884440999999995,127.1721936,73.107,"(1.0629609999999998, 0.0, 0.0, 0.0, 1.0629609999999998, 0.0, 0.0, 0.0, 2.184484)",2
2023/03/01/16:58:12.706289,54,1677550535,469088216,imu_link,0,0,35.884527,127.17210159999999,72.909,"(1.028196, 0.0, 0.0, 0.0, 1.028196, 0.0, 0.0, 0.0, 2.064969)",2
2023/03/01/16:58:15.051370,55,1677550537,969505616,imu_link,0,0,35.8849041,127.17159939999999,72.144,"(0.801025, 0.0, 0.0, 0.0, 0.801025, 0.0, 0.0, 0.0, 1.7689000000000001)",2
2023/03/01/16:58:15.488304,56,1677550538,467542485,imu_link,0,0,35.884969999999996,127.1714916,72.217,"(0.762129, 0.0, 0.0, 0.0, 0.762129, 0.0, 0.0, 0.0, 1.718721)",2
2023/03/01/16:58:15.690388,57,1677550538,716259587,imu_link,0,0,35.8850019,127.1714375,72.183,"(0.7430439999999999, 0.0, 0.0, 0.0, 0.7430439999999999, 0.0, 0.0, 0.0, 1.6952040000000002)",2
2023/03/01/16:58:15.898930,58,1677550538,968842348,imu_link,0,0,35.8850329,127.17138299999999,72.171,"(0.7310249999999999, 0.0, 0.0, 0.0, 0.7310249999999999, 0.0, 0.0, 0.0, 1.671849)",2
2023/03/01/16:58:16.493290,59,1677550539,468075074,imu_link,0,0,35.8850925,127.1712719,72.226,"(0.710649, 0.0, 0.0, 0.0, 0.710649, 0.0, 0.0, 0.0, 1.640961)",2
2023/03/01/16:58:16.695061,60,1677550539,718418287,imu_link,0,0,35.8851209,127.17121569999999,72.235,"(0.702244, 0.0, 0.0, 0.0, 0.702244, 0.0, 0.0, 0.0, 1.628176)",2
2023/03/01/16:58:16.972878,61,1677550539,966757803,imu_link,0,0,35.8851484,127.1711586,72.236,"(0.6905610000000001, 0.0, 0.0, 0.0, 0.6905610000000001, 0.0, 0.0, 0.0, 1.617984)",2
2023/03/01/16:58:17.488450,62,1677550540,468253237,imu_link,0,0,35.8852015,127.1710427,72.33,"(0.6789760000000001, 0.0, 0.0, 0.0, 0.6789760000000001, 0.0, 0.0, 0.0, 1.602756)",2
2023/03/01/16:58:17.791847,63,1677550540,716427090,imu_link,0,0,35.885226599999996,127.17098419999999,72.346,"(0.6724000000000001, 0.0, 0.0, 0.0, 0.6724000000000001, 0.0, 0.0, 0.0, 1.5901210000000003)",2
2023/03/01/16:58:18.945325,64,1677550541,974157922,imu_link,0,0,35.8853436,127.17068529999999,72.881,"(0.6464160000000001, 0.0, 0.0, 0.0, 0.6464160000000001, 0.0, 0.0, 0.0, 1.5376)",2
2023/03/01/16:58:19.486507,65,1677550542,471745648,imu_link,0,0,35.8853869,127.17056409999999,73.147,"(0.6400000000000001, 0.0, 0.0, 0.0, 0.6400000000000001, 0.0, 0.0, 0.0, 1.5301690000000003)",2
2023/03/01/16:58:19.751949,66,1677550542,716891902,imu_link,0,0,35.8854081,127.1705035,73.257,"(0.636804, 0.0, 0.0, 0.0, 0.636804, 0.0, 0.0, 0.0, 1.527696)",2
2023/03/01/16:58:20.350699,67,1677550543,241272353,imu_link,0,0,35.885449,127.17038149999999,73.44,"(0.6756840000000001, 0.0, 0.0, 0.0, 0.6756840000000001, 0.0, 0.0, 0.0, 1.5450490000000003)",2
2023/03/01/16:58:22.141601,68,1677550544,971895262,imu_link,0,0,35.8855895,127.16995379999999,74.007,"(0.5929, 0.0, 0.0, 0.0, 0.5929, 0.0, 0.0, 0.0, 1.430416)",2
2023/03/01/16:58:22.644768,69,1677550545,471567972,imu_link,0,0,35.8856312,127.1698311,74.31700000000001,"(0.571536, 0.0, 0.0, 0.0, 0.571536, 0.0, 0.0, 0.0, 1.3829759999999998)",2
2023/03/01/16:58:22.697478,70,1677550545,726060295,imu_link,0,0,35.885653,127.16977,74.379,"(0.5625, 0.0, 0.0, 0.0, 0.5625, 0.0, 0.0, 0.0, 1.3712410000000002)",2
2023/03/01/16:58:22.913663,71,1677550545,975337138,imu_link,0,0,35.8856755,127.16970909999999,74.471,"(0.559504, 0.0, 0.0, 0.0, 0.559504, 0.0, 0.0, 0.0, 1.3618890000000001)",2
2023/03/01/16:58:23.501722,72,1677550546,471690956,imu_link,0,0,35.885721499999995,127.16958699999999,74.536,"(0.552049, 0.0, 0.0, 0.0, 0.552049, 0.0, 0.0, 0.0, 1.3409639999999998)",2
2023/03/01/16:58:23.714833,73,1677550546,721295132,imu_link,0,0,35.885745,127.1695259,74.553,"(0.546121, 0.0, 0.0, 0.0, 0.546121, 0.0, 0.0, 0.0, 1.334025)",2
2023/03/01/16:58:25.519237,74,1677550548,473730824,imu_link,0,0,35.885919699999995,127.1690974,74.346,"(0.508369, 0.0, 0.0, 0.0, 0.508369, 0.0, 0.0, 0.0, 1.2454560000000003)",2
2023/03/01/16:58:25.794464,75,1677550548,724380810,imu_link,0,0,35.8859461,127.1690361,74.277,"(0.5041, 0.0, 0.0, 0.0, 0.5041, 0.0, 0.0, 0.0, 1.234321)",2
2023/03/01/16:58:27.337367,76,1677550550,221751130,imu_link,0,0,35.8861123,127.1686683,73.78,"(0.48163600000000006, 0.0, 0.0, 0.0, 0.48163600000000006, 0.0, 0.0, 0.0, 1.1815689999999999)",2
2023/03/01/16:58:27.567151,77,1677550550,471755122,imu_link,0,0,35.886141599999995,127.1686072,73.678,"(0.4761000000000001, 0.0, 0.0, 0.0, 0.4761000000000001, 0.0, 0.0, 0.0, 1.1728889999999998)",2
2023/03/01/16:58:28.029592,78,1677550550,973936094,imu_link,0,0,35.886201299999996,127.16848599999999,73.42,"(0.46785600000000005, 0.0, 0.0, 0.0, 0.46785600000000005, 0.0, 0.0, 0.0, 1.1534760000000002)",2
2023/03/01/16:58:28.520246,79,1677550551,471422965,imu_link,0,0,35.8862622,127.16836629999999,73.144,"(0.45968400000000004, 0.0, 0.0, 0.0, 0.45968400000000004, 0.0, 0.0, 0.0, 1.1342249999999998)",2
2023/03/01/16:58:28.954913,80,1677550551,971530364,imu_link,0,0,35.886324,127.1682482,72.84700000000001,"(0.45427600000000007, 0.0, 0.0, 0.0, 0.45427600000000007, 0.0, 0.0, 0.0, 1.117249)",2
2023/03/01/16:58:29.338645,81,1677550552,221471287,imu_link,0,0,35.8863552,127.1681898,72.71600000000001,"(0.45158400000000004, 0.0, 0.0, 0.0, 0.45158400000000004, 0.0, 0.0, 0.0, 1.113025)",2
2023/03/01/16:58:29.646752,82,1677550552,471725603,imu_link,0,0,35.8863864,127.16813169999999,72.599,"(0.4489000000000001, 0.0, 0.0, 0.0, 0.4489000000000001, 0.0, 0.0, 0.0, 1.108809)",2
2023/03/01/16:58:29.826160,83,1677550552,721159425,imu_link,0,0,35.8864178,127.16807379999999,72.474,"(0.44622400000000007, 0.0, 0.0, 0.0, 0.44622400000000007, 0.0, 0.0, 0.0, 1.1025)",2
2023/03/01/16:58:30.156471,84,1677550552,971381110,imu_link,0,0,35.8864494,127.168016,72.37,"(0.44222500000000003, 0.0, 0.0, 0.0, 0.44222500000000003, 0.0, 0.0, 0.0, 1.0962089999999998)",2
2023/03/01/16:58:30.976298,85,1677550553,721938259,imu_link,0,0,35.886547199999995,127.16784399999999,72.092,"(0.42902500000000005, 0.0, 0.0, 0.0, 0.42902500000000005, 0.0, 0.0, 0.0, 1.0753689999999998)",2
2023/03/01/16:58:31.691620,86,1677550554,720409905,imu_link,0,0,35.8866826,127.1676164,71.625,"(0.41602500000000003, 0.0, 0.0, 0.0, 0.41602500000000003, 0.0, 0.0, 0.0, 1.0547289999999998)",2
2023/03/01/16:58:32.502771,87,1677550555,477046356,imu_link,0,0,35.886789199999996,127.16744709999999,71.304,"(0.408321, 0.0, 0.0, 0.0, 0.408321, 0.0, 0.0, 0.0, 1.0383610000000003)",2
2023/03/01/16:58:32.688758,88,1677550555,715808320,imu_link,0,0,35.8868254,127.167391,71.194,"(0.404496, 0.0, 0.0, 0.0, 0.404496, 0.0, 0.0, 0.0, 1.0302250000000002)",2
